"Peyton Manning (QB, DEN)",SD,#23,1,1,29.25/42.00,354.46,2.89,0.68,2.23,3.88,0.07,15.25-33.85,24.55,25.29,"$10,200 ",2.48
"Aaron Rodgers (QB, GB)",NO,#32,2,2,27.40/39.89,320.12,2.88,1.01,2.83,11.73,0.13,15.89-31.87,23.88,24.95,"$10,000 ",2.5
"Andrew Luck (QB, IND)",PIT,#27,3,3,28.39/43.31,346.75,2.32,0.64,3,7.91,0.09,14.93-30.33,22.63,23.3,"$9,900 ",2.35
"Drew Brees (QB, NO)",GB,#20,4,4,25.81/39.81,315.6,2.33,0.75,3.03,12.24,0.11,12.62-31.26,21.94,22.82,"$9,100 ",2.51
"Russell Wilson (QB, SEA)",CAR,#26,5,5,20.17/34.66,252.17,1.62,0.88,6.7,42.36,0.46,13.07-30.13,21.6,22.59,"$8,900 ",2.54
"Philip Rivers (QB, SD)",DEN,#7,6,6,27.58/43.00,333.93,2.38,0.81,1.89,4.36,0.04,14.55-28.55,21.55,22.44,"$8,900 ",2.52
"Matthew Stafford (QB, DET)",ATL,#31,8,7,24.96/39.33,279.95,2.03,0.92,3.64,13.46,0.21,10.99-28.29,19.64,20.66,"$8,400 ",2.46
"Cam Newton (QB, CAR)",SEA,#16,9,8,22.64/35.84,272.6,1.66,0.62,5.27,25.3,0.22,11.77-27.49,19.63,20.37,"$8,100 ",2.51
"Tony Romo (QB, DAL)",WSH,#19,10,9,25.22/38.11,301.52,2.22,0.7,1.9,2.62,0.02,12.44-26.5,19.47,20.38,"$8,200 ",2.49
"Tom Brady (QB, NE)",CHI,#17,11,10,24.71/39.34,298.66,2,0.92,3.21,9.61,0.11,12.06-26.78,19.42,20.43,"$8,600 ",2.38
"Jay Cutler (QB, CHI)",NE,#15,13,11,26.84/43.25,299.63,1.63,0.83,2.49,11.81,0.11,10.02-26.22,18.12,19.16,"$8,300 ",2.31
"Alex Smith (QB, KC)",STL,#30,14,12,21.45/31.36,264.13,1.77,0.56,2.87,8.06,0.13,11.05-24.57,17.81,18.45,"$7,200 ",2.56
"Nick Foles (QB, PHI)",ARI,#8,15,13,26.19/46.43,311.19,1.65,1.02,2.4,6.93,0.07,9.67-25.69,17.68,18.68,"$8,200 ",2.28
"Matt Ryan (QB, ATL)",DET,#1,16,14,28.04/45.27,306.61,1.83,1.01,1.74,1.25,0.04,10.12-24.82,17.47,18.5,"$8,100 ",2.28
"Ryan Tannehill (QB, MIA)",JAC,#14,17,15,23.25/37.02,272.33,1.78,0.94,3.66,9.6,0.12,9.27-25.07,17.17,18.15,"$8,400 ",2.16
"Teddy Bridgewater (QB, MIN)",TB,#29,19,16,21.29/35.56,259.97,1.65,0.73,3.08,14.93,0.04,9.72-24.18,16.95,17.72,"$5,400 ",3.28
"Ben Roethlisberger (QB, PIT)",IND,#9,20,17,22.90/38.95,256.53,1.72,1.02,3.36,15.18,0.1,9.88-23.52,16.7,17.81,"$7,500 ",2.37
"Carson Palmer (QB, ARI)",PHI,#3,22,18,22.11/36.91,254.91,1.71,0.69,2.32,5.59,0.08,9.59-23.09,16.34,17.13,"$7,400 ",2.31
"Derek Carr (QB, OAK)",CLE,#28,23,19,22.11/37.04,249.46,1.64,1.1,2.74,17.99,0.06,8.84-23.4,16.12,17.36,"$6,600 ",2.63
"Joe Flacco (QB, BAL)",CIN,#21,24,20,22.86/35.96,273.45,1.42,0.7,2.43,6.53,0.1,8.51-23.65,16.08,16.77,"$7,500 ",2.24
"Ryan Fitzpatrick (QB, HOU)",TEN,#22,27,21,20.57/34.06,245.89,1.47,0.98,3.01,11.32,0.1,7.65-22.71,15.18,16.27,"$6,300 ",2.58
"Brian Hoyer (QB, CLE)",OAK,#24,30,22,20.88/34.65,239.85,1.54,0.74,1.97,3.21,0.04,8.19-20.73,14.46,15.22,"$6,000 ",2.54
"Andy Dalton (QB, CIN)",BAL,#4,31,23,22.90/39.21,260.52,1.47,1.19,2.26,9.03,0,7.63-20.37,14,15.25,"$8,000 ",1.91
"Kyle Orton (QB, BUF)",NYJ,#25,32,24,23.57/39.00,264.41,1.47,1.12,2.12,2.77,0.04,7.63-20.13,13.88,15.05,"$7,200 ",2.09
"Mike Glennon (QB, TB)",MIN,#12,33,25,21.94/37.30,243.32,1.4,1.04,2.06,6.48,0.06,7.64-20.06,13.85,14.94,"$6,800 ",2.2
"Austin Davis (QB, STL)",KC,#10,34,26,22.00/35.38,244.57,1.65,1.21,1.76,1.3,0,7.99-19.61,13.8,15.02,"$7,500 ",2
"Geno Smith (QB, NYJ)",BUF,#6,36,27,19.55/34.65,220.04,1.17,0.96,4.07,18.35,0.12,6.37-20.19,13.28,14.27,"$7,000 ",2.04
"Colt McCoy (QB, WSH)",DAL,#11,40,28,17.68/27.58,206.03,1.48,0.79,1.33,3.1,0.02,8.26-17.12,12.69,13.63,"$6,100 ",2.23
"Blake Bortles (QB, JAC)",MIA,#2,42,29,23.01/41.47,230.04,1.16,1.61,3.65,18.48,0.14,6.29-18.87,12.58,14.27,"$6,600 ",2.16
"Zach Mettenberger (QB, TEN)",HOU,#5,82,30,18.28/34.56,182.66,0.91,1.08,1.8,5.06,0,2.54-14.52,8.53,9.7,"$5,200 ",1.87
"Johnny Manziel (QB, CLE)",OAK,#24,212,31,5.76/9.68,54.72,0.16,0.4,0.72,0.24,0,-5.6,1.73,2.13,"$5,500 ",0.39
"E.J. Manuel (QB, BUF)",NYJ,#25,238,32,1.46/2.43,15.94,0.1,0.06,0.22,0.89,0,0.35-1.59,0.97,1.03,"$5,500 ",0.19
"Brandon Weeden (QB, DAL)",WSH,#19,243,33,1.22/2.03,14.26,0.09,0.07,0.22,0.77,0.01,0.17-1.59,0.88,0.98,"$5,000 ",0.2
"Jake Locker (QB, TEN)",HOU,#5,244,34,1.25/2.24,13.38,0.08,0.06,0.25,1.1,0.01,0.29-1.43,0.86,0.93,"$6,500 ",0.14
"Ryan Mallett (QB, HOU)",TEN,#22,245,35,1.24/2.04,14.1,0.09,0.05,0.14,0.46,0,0.2-1.5,0.85,0.9,"$6,300 ",0.14
"Dan Orlovsky (QB, DET)",ATL,#31,247,36,1.16/1.88,13.27,0.08,0.04,0.14,0.47,0.01,0.12-1.56,0.84,0.9,"$5,000 ",0.18
"Chase Daniel (QB, KC)",STL,#30,250,37,1.03/1.71,12.58,0.07,0.05,0.2,0.75,0.01,0.08-1.52,0.8,0.85,"$5,000 ",0.17
"Bruce Gradkowski (QB, PIT)",IND,#9,250,37,1.20/2.01,13.49,0.09,0.07,0.14,0.39,0,0.23-1.37,0.8,0.85,"$5,000 ",0.17
"Tyrod Taylor (QB, BAL)",CIN,#21,252,38,1.21/2.00,13.61,0.09,0.07,0.13,0.38,0,0.24-1.34,0.79,0.85,"$5,000 ",0.17
"Derek Anderson (QB, CAR)",SEA,#16,254,39,0.88/1.35,10.9,0.08,0.03,0.16,0.38,0.01,0.1-1.46,0.78,0.8,"$5,700 ",0.14
"Matt Moore (QB, MIA)",JAC,#14,256,40,1.09/1.88,12.8,0.07,0.06,0.17,0.51,0,0.17-1.35,0.76,0.77,"$5,000 ",0.15
"Tarvaris Jackson (QB, SEA)",CAR,#26,257,41,1.08/1.76,12.63,0.08,0.06,0.15,0.26,0,0.17-1.33,0.75,0.79,"$5,000 ",0.16
"Luke McCown (QB, NO)",GB,#20,259,42,1.13/1.90,13.05,0.08,0.07,0.12,0.3,0,0.18-1.3,0.74,0.78,"$5,000 ",0.16
"Josh McCown (QB, TB)",MIN,#12,259,42,1.35/2.31,13.75,0.05,0.07,0.17,1.12,0.01,0.24-1.24,0.74,0.82,"$5,800 ",0.14
"Mark Sanchez (QB, PHI)",ARI,#8,267,43,1.05/1.83,11.76,0.06,0.06,0.14,0.35,0,0.11-1.23,0.67,0.67,"$5,000 ",0.13
"Kellen Clemens (QB, SD)",DEN,#7,267,43,1.03/1.78,11.63,0.07,0.06,0.18,0.51,0.01,0.12-1.22,0.67,0.78,"$5,000 ",0.16
"Drew Stanton (QB, ARI)",PHI,#3,272,44,1.15/1.93,12.02,0.05,0.06,0.17,0.64,0,0.1-1.16,0.63,0.66,"$5,200 ",0.13
"Matthew McGloin (QB, OAK)",CLE,#28,280,45,0.91/1.65,9.72,0.04,0.04,0.19,0.82,0.01,0.02-1.1,0.56,0.61,$0 ,0
"Chad Henne (QB, JAC)",MIA,#2,288,46,0.99/1.91,10.21,0.04,0.07,0.16,0.66,0,0.06-0.88,0.47,0.52,"$6,000 ",0.09
"Christian Ponder (QB, MIN)",TB,#29,289,47,0.78/1.51,9.2,0.04,0.06,0.15,0.67,0,-0.98,0.46,0.52,"$5,700 ",0.09
"Charlie Whitehurst (QB, TEN)",HOU,#5,290,48,0.84/1.50,9.28,0.05,0.06,0.12,0.42,0,0.09-0.81,0.45,0.51,"$6,900 ",0.07
"Jimmy Clausen (QB, CHI)",NE,#15,301,49,0.37/0.54,4.79,0.04,0.01,0.1,-0.04,0,-0.86,0.32,0.34,"$5,000 ",0.07
"Jimmy Garoppolo (QB, NE)",CHI,#17,301,49,0.38/0.55,4.96,0.04,0.01,0.09,-0.06,0,-0.86,0.32,0.34,"$5,900 ",0.06
"T.J. Yates (QB, ATL)",DET,#1,303,50,0.72/1.15,7.48,0.03,0.05,0.07,-0.02,0,-0.8,0.3,0.35,"$5,000 ",0.07
"Matt Flynn (QB, GB)",NO,#32,303,50,0.77/1.38,7.65,0.03,0.05,0.07,0.01,0,-0.72,0.3,0.34,"$5,000 ",0.07
"Matt Hasselbeck (QB, IND)",PIT,#27,304,51,0.54/0.84,5.75,0.03,0.03,0.09,0.03,0,-0.94,0.27,0.3,"$5,000 ",0.06
"Shaun Hill (QB, STL)",KC,#10,305,52,0.75/1.37,7.48,0.02,0.05,0.06,0.03,0,-0.7,0.26,0.31,"$5,000 ",0.06
"Brock Osweiler (QB, DEN)",SD,#23,309,53,0.56/1.01,5.28,0.02,0.04,0.13,0.25,0,-0.62,0.23,0.26,"$5,000 ",0.05
"Jason Campbell (QB, CIN)",BAL,#4,310,54,0.59/1.17,5.99,0.02,0.06,0.12,0.33,0,-0.7,0.22,0.27,"$5,000 ",0.05
"Michael Vick (QB, NYJ)",BUF,#6,312,55,0.56/1.16,5.23,0.02,0.06,0.13,0.31,0,-0.6,0.18,0.22,"$6,000 ",0.04
"Kirk Cousins (QB, WSH)",DAL,#11,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$6,800 ",0
"Logan Thomas (QB, ARI)",PHI,#3,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,500 ",0
"Case Keenum (QB, STL)",KC,#10,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Sean Renfree (QB, ATL)",DET,#1,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Landry Jones (QB, PIT)",IND,#9,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Ryan Nassib (QB, NYG)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Matt Barkley (QB, PHI)",ARI,#8,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Kellen Moore (QB, DET)",ATL,#31,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Chandler Harnish (QB, MIN)",TB,#29,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Tom Savage (QB, HOU)",TEN,#22,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Robert Griffin III (QB, WSH)",DAL,#11,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$6,500 ",0
"Scott Tolzien (QB, GB)",NO,#32,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Colin Kaepernick (QB, SF)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Blaine Gabbert (QB, SF)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Joe Webb (QB, CAR)",SEA,#16,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Mike Kafka (QB, TB)",MIN,#12,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Eli Manning (QB, NYG)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Matt Schaub (QB, OAK)",CLE,#28,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,500 ",0